longitude,latitude,start_date,end_date,label,cube,time_series
-55.00273018823669,-3.370935036238425,2001-01-01,2023-01-01,jarana,NA,NA
-55.00249532576213,-3.370969221870228,2001-01-01,2023-01-01,envira preta,NA,NA
-55.00269405554722,-3.370940295570756,2001-01-01,2023-01-01,louro preto,NA,NA
-55.00253121595468,-3.3709500067514444,2001-01-01,2023-01-01,envira preta,NA,NA
-55.00267598920262,-3.37094292523627,2001-01-01,2023-01-01,ucuuba vermelha,NA,NA
-55.002512884767,-3.3709428896947964,2001-01-01,2023-01-01,morta,NA,NA
-55.00268530563161,-3.3709267720871097,2001-01-01,2023-01-01,inga branco,NA,NA
-55.00251286597667,-3.370942011823906,2001-01-01,2023-01-01,morta,NA,NA
-55.002630871674384,-3.370941086878969,2001-01-01,2023-01-01,jatereu,NA,NA
-55.002557878661776,-3.3708995529853634,2001-01-01,2023-01-01,melancieira,NA,NA
-55.00255695273812,-3.370898800682306,2001-01-01,2023-01-01,matamata preto,NA,NA
-55.00263094417351,-3.370928468099628,2001-01-01,2023-01-01,louro preto,NA,NA
-55.00255308621474,-3.3708828079097253,2001-01-01,2023-01-01,jatereu,NA,NA
-55.002585419328206,-3.3709081747334366,2001-01-01,2023-01-01,acariquara,NA,NA
-55.00247616493538,-3.37093450772522,2001-01-01,2023-01-01,muiratinga,NA,NA
-55.00260368672535,-3.370902461746056,2001-01-01,2023-01-01,jutai-pororoca,NA,NA
-55.00247647764496,-3.3709451773841534,2001-01-01,2023-01-01,acariquara,NA,NA
-55.002603676831775,-3.3708888665063808,2001-01-01,2023-01-01,morta,NA,NA
-55.00246466365095,-3.370946776806993,2001-01-01,2023-01-01,abiurana,NA,NA
-55.002612856503006,-3.370881837554911,2001-01-01,2023-01-01,lacrao,NA,NA
-55.00246381208861,-3.3709486860030777,2001-01-01,2023-01-01,canela-de-jacamim,NA,NA
-55.00265878678688,-3.370875599581018,2001-01-01,2023-01-01,matamata branco,NA,NA
-55.002462414339455,-3.3709336224194217,2001-01-01,2023-01-01,louro preto,NA,NA
-55.002668202542814,-3.3708587516557387,2001-01-01,2023-01-01,matamata preto,NA,NA
-55.00247342872397,-3.3708411482099563,2001-01-01,2023-01-01,jarana,NA,NA
-55.00264977032266,-3.370859965433364,2001-01-01,2023-01-01,tachi vermelho,NA,NA
-55.002473272368874,-3.370835813380531,2001-01-01,2023-01-01,breu barrote,NA,NA
-55.00257593233552,-3.3708595589481125,2001-01-01,2023-01-01,abiurana vermelha,NA,NA
-55.00249236569572,-3.370852599268235,2001-01-01,2023-01-01,matamata preto,NA,NA
-55.00260364715038,-3.3708480807875048,2001-01-01,2023-01-01,acariquara,NA,NA
